iter	Passed	Remaining
570	11165	8388
571	11179	8364
572	11194	8342
573	11208	8318
574	11226	8297
575	11244	8277
576	11266	8259
577	11283	8237
578	11298	8215
579	11313	8192
580	11329	8170
581	11346	8149
582	11361	8126
583	11381	8107
584	11400	8087
585	11418	8067
586	11436	8046
587	11455	8026
588	11480	8010
589	11504	7994
590	11527	7977
591	11553	7962
592	11573	7943
593	11599	7928
594	11619	7909
595	11636	7888
596	11659	7870
597	11677	7850
598	11693	7828
599	11714	7809
600	11733	7789
601	11757	7773
602	11776	7753
603	11799	7736
604	11820	7717
605	11846	7702
606	11875	7688
607	11899	7672
608	11919	7652
609	11938	7632
610	11957	7613
611	11976	7593
612	11995	7573
613	12012	7551
614	12029	7530
615	12054	7514
616	12086	7502
617	12109	7485
618	12134	7468
619	12151	7447
620	12178	7432
621	12203	7416
622	12224	7397
623	12246	7379
624	12273	7364
625	12292	7344
626	12313	7325
627	12334	7306
628	12359	7289
629	12383	7272
630	12403	7253
631	12426	7235
632	12445	7215
633	12470	7199
634	12499	7184
635	12518	7164
636	12534	7142
637	12554	7123
638	12574	7104
639	12591	7082
640	12606	7060
641	12625	7040
642	12651	7024
643	12673	7006
644	12701	6990
645	12741	6982
646	12777	6971
647	12806	6956
648	12830	6939
649	12853	6921
650	12887	6909
651	12921	6896
652	12953	6883
653	12988	6871
654	13018	6856
655	13054	6845
656	13080	6828
657	13104	6811
658	13137	6797
659	13170	6784
660	13197	6768
661	13221	6750
662	13240	6730
663	13261	6710
664	13281	6690
665	13301	6670
666	13321	6650
667	13341	6630
668	13361	6610
669	13389	6594
670	13412	6576
671	13436	6558
672	13458	6539
673	13479	6519
674	13498	6499
675	13521	6480
676	13546	6463
677	13571	6445
678	13607	6433
679	13636	6417
680	13664	6400
681	13692	6384
682	13715	6365
683	13739	6347
684	13765	6330
685	13788	6311
686	13814	6294
687	13841	6276
688	13865	6258
689	13889	6239
690	13913	6221
691	13941	6205
692	13962	6185
693	13983	6165
694	14006	6146
695	14031	6128
696	14059	6111
697	14082	6093
698	14102	6072
699	14118	6050
700	14134	6028
701	14149	6006
702	14164	5984
703	14181	5962
704	14198	5941
705	14217	5920
706	14238	5900
707	14252	5878
708	14270	5857
709	14288	5836
710	14302	5813
711	14321	5793
712	14343	5773
713	14358	5751
714	14379	5731
715	14400	5711
716	14418	5690
717	14439	5671
718	14457	5650
719	14480	5631
720	14496	5609
721	14515	5589
722	14532	5567
723	14551	5547
724	14564	5524
725	14579	5502
726	14594	5480
727	14614	5460
728	14636	5440
729	14656	5421
730	14682	5403
731	14704	5383
732	14727	5364
733	14745	5343
734	14764	5323
735	14785	5303
736	14813	5286
737	14846	5270
738	14878	5254
739	14909	5238
740	14966	5231
741	14989	5211
742	15010	5191
743	15033	5172
744	15063	5155
745	15096	5139
746	15117	5120
747	15136	5099
748	15155	5078
749	15175	5058
750	15197	5038
751	15211	5016
752	15225	4994
753	15239	4971
754	15254	4950
755	15276	4930
756	15293	4909
757	15311	4888
758	15329	4867
759	15347	4846
760	15368	4826
761	15387	4806
762	15403	4784
763	15419	4763
764	15433	4741
765	15447	4719
766	15462	4697
767	15479	4676
768	15497	4655
769	15513	4633
770	15528	4612
771	15560	4595
772	15578	4574
773	15592	4552
774	15607	4531
775	15621	4509
776	15635	4487
777	15649	4465
778	15663	4443
779	15681	4422
780	15699	4402
781	15714	4380
782	15728	4359
783	15743	4337
784	15757	4315
785	15771	4294
786	15789	4273
787	15808	4253
788	15826	4232
789	15842	4211
790	15859	4190
791	15888	4172
792	15912	4153
793	15931	4133
794	15948	4112
795	15962	4090
796	15978	4069
797	15993	4048
798	16009	4027
799	16026	4006
800	16043	3985
801	16068	3966
802	16091	3947
803	16110	3927
804	16126	3906
805	16143	3885
806	16157	3864
807	16174	3843
808	16192	3823
809	16208	3802
810	16229	3782
811	16247	3761
812	16266	3741
813	16292	3722
814	16323	3705
815	16343	3685
816	16360	3664
817	16378	3644
818	16396	3623
819	16414	3603
820	16432	3582
821	16456	3563
822	16478	3544
823	16505	3525
824	16529	3506
825	16547	3485
826	16568	3465
827	16590	3446
828	16611	3426
829	16637	3407
830	16656	3387
831	16678	3367
832	16697	3347
833	16727	3329
834	16744	3308
835	16764	3288
836	16783	3268
837	16804	3248
838	16822	3228
839	16842	3208
840	16861	3187
841	16885	3168
842	16904	3148
843	16926	3128
844	16944	3108
845	16963	3087
846	16982	3067
847	17004	3047
848	17025	3028
849	17045	3007
850	17059	2986
851	17075	2966
852	17092	2945
853	17110	2925
854	17130	2905
855	17146	2884
856	17162	2863
857	17177	2842
858	17193	2822
859	17214	2802
860	17236	2782
861	17251	2761
862	17270	2741
863	17287	2721
864	17301	2700
865	17316	2679
866	17335	2659
867	17349	2638
868	17363	2617
869	17378	2596
870	17394	2576
871	17413	2556
872	17433	2536
873	17450	2515
874	17464	2494
875	17480	2474
876	17499	2454
877	17517	2434
878	17536	2413
879	17558	2394
880	17581	2374
881	17603	2355
882	17631	2336
883	17655	2316
884	17677	2297
885	17703	2277
886	17727	2258
887	17757	2239
888	17778	2219
889	17803	2200
890	17828	2181
891	17851	2161
892	17870	2141
893	17890	2121
894	17909	2101
895	17931	2081
896	17953	2061
897	17980	2042
898	18001	2022
899	18020	2002
900	18039	1982
901	18057	1961
902	18073	1941
903	18090	1921
904	18108	1900
905	18123	1880
906	18147	1860
907	18176	1841
908	18203	1822
909	18225	1802
910	18248	1782
911	18268	1762
912	18286	1742
913	18304	1722
914	18321	1701
915	18339	1681
916	18357	1661
917	18377	1641
918	18403	1622
919	18419	1601
920	18436	1581
921	18454	1561
922	18470	1540
923	18487	1520
924	18503	1500
925	18520	1480
926	18537	1459
927	18554	1439
928	18571	1419
929	18587	1399
930	18615	1379
931	18642	1360
932	18671	1340
933	18697	1321
934	18723	1301
935	18753	1282
936	18777	1262
937	18811	1243
938	18833	1223
939	18854	1203
940	18870	1183
941	18885	1162
942	18901	1142
943	18915	1122
944	18932	1101
945	18947	1081
946	18961	1061
947	18976	1040
948	18990	1020
949	19007	1000
950	19027	980
951	19043	960
952	19057	939
953	19072	919
954	19089	899
955	19105	879
956	19125	859
957	19146	839
958	19165	819
959	19185	799
960	19204	779
961	19218	759
962	19241	739
963	19256	719
964	19272	699
965	19296	679
966	19320	659
967	19345	639
968	19369	619
969	19390	599
970	19412	579
971	19436	559
972	19461	540
973	19492	520
974	19510	500
975	19527	480
976	19542	460
977	19558	439
978	19576	419
979	19598	399
980	19621	380
981	19644	360
982	19671	340
983	19698	320
984	19722	300
985	19741	280
986	19763	260
987	19781	240
988	19799	220
989	19821	200
990	19843	180
991	19865	160
992	19892	140
993	19919	120
994	19943	100
995	19965	80
996	19988	60
997	20015	40
998	20035	20
999	20056	0
